,colummn
1097,garden
1098,care
1099,happens
1100,ate
1101,little
1102,bit
1103,said
1104,anxiously
1105,way
1106,way
1107,holding
1108,hand
1109,top
1110,head
1111,feel
1112,way
1113,growing
1114,quite
1115,surprised
1116,find
1117,remained
1118,size
1119,set
1120,work
1121,soon
1122,finished
1123,cake
1124,pg
1125,9
1126,ii
1127,pool
1128,tears
1129,curiouser
1130,curiouser
1131,cried
1132,alice
1133,much
1134,surprised
1135,moment
1136,quite
1137,forgot
1138,speak
1139,good
1140,english
1141,opening
1142,like
1143,largest
1144,telescope
1145,ever
1146,good
1147,feet
1148,oh
1149,poor
1150,little
1151,feet
1152,wonder
1153,put
1154,shoes
1155,stockings
1156,dears
1157,shall
1158,great
1159,deal
1160,far
1161,trouble
1162,moment
1163,head
1164,struck
1165,roof
1166,hall
1167,fact
1168,rather
1169,nine
1170,feet
1171,high
1172,took
1173,little
1174,golden
1175,key
1176,hurried
1177,garden
1178,door
1179,poor
1180,alice
1181,much
1182,could
1183,lying
1184,one
1185,side
1186,look
1187,garden
1188,one
1189,eye
1190,get
1191,hopeless
1192,ever
1193,sat
1194,began
1195,cry
1196,went
1197,shedding
1198,gallons
1199,tears
1200,large
1201,pool
1202,round
1203,reaching
1204,half
1205,hall
1206,time
1207,heard
1208,little
1209,pattering
1210,feet
1211,distance
1212,hastily
1213,dried
1214,eyes
1215,see
1216,coming
1217,white
1218,rabbit
1219,returning
1220,splendidly
1221,dressed
1222,pair
1223,white
1224,kid
1225,gloves
1226,one
1227,hand
1228,large
1229,fan
1230,pg
1231,10
1232,came
1233,trotting
1234,along
1235,great
1236,hurry
1237,muttering
1238,oh
1239,duchess
1240,duchess
1241,oh
1242,savage
1243,kept
1244,waiting
1245,rabbit
1246,came
1247,near
1248,alice
1249,began
1250,low
1251,timid
1252,voice
1253,please
1254,sir
1255,rabbit
1256,started
1257,violently
1258,dropped
1259,white
1260,kid
1261,gloves
1262,fan
1263,skurried
1264,away
1265,darkness
1266,hard
1267,could
